"TargetModule","Coverage"
"path_sum","0.16279069767441862"
"max_path_sum","1.0"
"same_tree","0.6923076923076923"
"tree","1.0"
"invert_tree","0.42857142857142855"
"is_balanced","0.5555555555555556"
"binary_tree_paths","0.2727272727272727"
"pretty_print","1.0"
"b_tree","0.8709677419354839"
"is_symmetric","0.3870967741935484"
"is_subtree","0.5263157894736842"
"max_height","0.6111111111111112"
"min_height","0.34615384615384615"
"construct_tree_postorder_preorder","0.8888888888888888"
"lowest_common_ancestor","0.23076923076923078"
"path_sum2","0.15555555555555556"
"longest_consecutive","0.7142857142857143"
"fenwick_tree","1.0"
"segment_tree","0.7307692307692307"
"iterative_segment_tree","0.8695652173913043"
"add_and_search","0.7906976744186046"
"trie","1.0"
"inorder","0.6923076923076923"
"level_order","0.38461538461538464"
"postorder","0.9047619047619048"
"zigzag","0.38461538461538464"
"preorder","0.9411764705882353"
"red_black_tree","0.582089552238806"
"kth_smallest","0.9090909090909091"
"serialize_deserialize","1.0"
"path_sum","0.16279069767441862"
"max_path_sum","1.0"
"same_tree","0.6923076923076923"
"tree","1.0"
"invert_tree","0.42857142857142855"
"is_balanced","0.5555555555555556"
"binary_tree_paths","0.2727272727272727"
"pretty_print","1.0"
"b_tree","0.9139784946236559"
"is_symmetric","0.3870967741935484"
"is_subtree","0.5263157894736842"
"max_height","0.6111111111111112"
"min_height","0.34615384615384615"
"construct_tree_postorder_preorder","0.8888888888888888"
"lowest_common_ancestor","0.23076923076923078"
"path_sum2","0.15555555555555556"
"longest_consecutive","0.7142857142857143"
"fenwick_tree","1.0"
"segment_tree","0.7307692307692307"
"iterative_segment_tree","0.8695652173913043"
"add_and_search","0.7209302325581395"
"trie","1.0"
"inorder","0.6923076923076923"
"level_order","0.38461538461538464"
"postorder","0.9047619047619048"
"zigzag","0.38461538461538464"
"preorder","0.9411764705882353"
"red_black_tree","0.753731343283582"
"kth_smallest","0.9090909090909091"
"serialize_deserialize","1.0"
"predecessor","0.42857142857142855"
"array_to_bst","1.0"
"successor","0.42857142857142855"
"bst_closest_value","0.16666666666666666"
"BSTIterator","0.38461538461538464"
"is_bst","0.29411764705882354"
"breaking_bad","0.9791666666666666"
"license_number","1.0"
"check_pangram","0.8"
"strong_password","1.0"
"delete_reoccurring","1.0"
"strip_url_params","0.9272727272727272"
"repeat_substring","1.0"
"reverse_string","1.0"
"panagram","1.0"
"reverse_words","0.8571428571428571"
"roman_to_int","0.8333333333333334"
"is_rotated","1.0"
"caesar_cipher","1.0"
"is_palindrome","0.1111111111111111"
"fizzbuzz","0.95"
"encode_decode","1.0"
"text_justification","0.8709677419354839"
"domain_extractor","1.0"
"judge_circle","1.0"
"rabin_karp","1.0"
"int_to_roman","1.0"
"knuth_morris_pratt","1.0"
"atbash_cipher","1.0"
"word_squares","1.0"
"longest_common_prefix","1.0"
"validate_coordinates","0.9583333333333334"
"make_sentence","0.9090909090909091"
"contain_string","1.0"
"count_binary_substring","1.0"
"first_unique_char","1.0"
"repeat_string","0.8571428571428571"
"multiply_strings","0.8333333333333334"
"unique_morse","1.0"
"one_edit_distance","1.0"
"group_anagrams","1.0"
"rotate","1.0"
"decode_string","1.0"
"merge_string_checker","0.9090909090909091"
"add_binary","0.9411764705882353"
"longest_palindromic_substring","0.96"
"min_distance","1.0"
"reverse_vowel","0.9523809523809523"
"flip_bit_longest_sequence","0.9090909090909091"
"count_ones","1.0"
"binary_gap","1.0"
"remove_bit","1.0"
"reverse_bits","0.8"
"swap_pair","1.0"
"bit_operation","1.0"
"single_number3","1.0"
"single_number2","1.0"
"insert_bit","1.0"
"count_flips_to_convert","1.0"
"power_of_two","1.0"
"single_number","1.0"
"add_bitwise_operator","1.0"
"subsets","1.0"
"bytes_int_conversion","1.0"
"find_difference","1.0"
"find_missing_number","1.0"
"has_alternative_bit","0.9090909090909091"
"dfa","0.8888888888888888"
"count_islands","0.9655172413793104"
"pacific_atlantic","1.0"
"all_factors","0.9583333333333334"
"walls_and_gates","1.0"
"maze_search","0.9655172413793104"
"sudoku_solver","0.5"
"shell_sort","0.8823529411764706"
"bucket_sort","0.9411764705882353"
"quick_sort","1.0"
"merge_sort","1.0"
"cycle_sort","0.96"
"pigeonhole_sort","1.0"
"top_sort","0.9487179487179487"
"pancake_sort","1.0"
"insertion_sort","1.0"
"gnome_sort","1.0"
"bubble_sort","0.9285714285714286"
"stooge_sort","0.7"
"selection_sort","1.0"
"bogo_sort","1.0"
"radix_sort","1.0"
"counting_sort","1.0"
"wiggle_sort","0.8333333333333334"
"sort_colors","0.875"
"heap_sort","0.9487179487179487"
"exchange_sort","1.0"
"cocktail_shaker_sort","0.9375"
"comb_sort","0.9285714285714286"
"meeting_rooms","0.5"
"bitonic_sort","0.9230769230769231"
"find_words","1.0"
"permute","0.6666666666666666"
"subsets_unique","1.0"
"array_sum_combinations","1.0"
"anagram","1.0"
"permute_unique","1.0"
"letter_combination","1.0"
"factor_combinations","0.9444444444444444"
"add_operators","1.0"
"generate_parenthesis","1.0"
"generate_abbreviations","1.0"
"pattern_match","1.0"
"palindrome_partitioning","1.0"
"combination_sum","1.0"
"rotate_list","0.2727272727272727"
"partition","0.5217391304347826"
"reverse","0.38461538461538464"
"merge_two_list","1.0"
"linkedlist","1.0"
"remove_range","0.8823529411764706"
"is_cyclic","0.4"
"copy_random_pointer","0.8125"
"kth_to_last","0.5740740740740741"
"remove_duplicates","1.0"
"swap_in_pairs","0.5384615384615384"
"is_sorted","0.9090909090909091"
"dijkstra","0.782608695652174"
"path_between_two_vertices_in_digraph","0.9166666666666666"
"traversal","0.9259259259259259"
"find_path","0.9696969696969697"
"prims_minimum_spanning","1.0"
"transitive_closure_dfs","0.9333333333333333"
"clone_graph","0.9354838709677419"
"graph","0.9444444444444444"
"bellman_ford","0.9411764705882353"
"find_all_cliques","1.0"
"all_pairs_shortest_path","1.0"
"maximum_flow_dfs","0.6521739130434783"
"cycle_detection","1.0"
"satisfiability","0.4074074074074074"
"maximum_flow_bfs","0.6956521739130435"
"check_bipartite","0.9411764705882353"
"check_digraph_strongly_connected","0.9444444444444444"
"maximum_flow","0.5616438356164384"
"histogram","1.0"
"one_sparse_recovery","0.92"
"misra_gries","1.0"
"search_rotate","1.0"
"binary_search","1.0"
"search_range","1.0"
"first_occurrence","0.9090909090909091"
"ternary_search","1.0"
"next_greatest_letter","0.9375"
"search_insert","1.0"
"linear_search","1.0"
"find_min_rotate","0.9090909090909091"
"interpolation_search","0.8888888888888888"
"two_sum","1.0"
"last_occurrence","1.0"
"jump_search","0.8947368421052632"
"full_path","1.0"
"split","1.0"
"join_with_slash","1.0"
"simplify_path","1.0"
"separate_chaining_hashtable","1.0"
"is_isomorphic","1.0"
"longest_common_subsequence","1.0"
"word_pattern","1.0"
"is_anagram","1.0"
"longest_palindromic_subsequence","1.0"
"randomized_set","0.47619047619047616"
"valid_sudoku","0.14285714285714285"
"binary_heap","0.7857142857142857"
"k_closest_points","1.0"
"sliding_window_max","1.0"
"merge_sorted_k_lists","0.4782608695652174"
"skyline","0.8648648648648649"
"nearest_neighbor","1.0"
"shortest_distance_from_all_buildings","0.975609756097561"
"word_ladder","0.7714285714285715"
"longest_non_repeat","1.0"
"flatten","1.0"
"max_ones_index","1.0"
"plus_one","0.8571428571428571"
"n_sum","0.8958333333333334"
"missing_ranges","1.0"
"limit","1.0"
"summarize_ranges","1.0"
"move_zeros","1.0"
"three_sum","0.6451612903225806"
"trimmean","1.0"
"top_1","1.0"
"delete_nth","1.0"
"josephus","1.0"
"merge_intervals","0.9696969696969697"
"garage","0.8181818181818182"
"huffman_coding","0.4766355140186916"
"rle_compression","1.0"
"max_contiguous_subsequence_sum","1.0"
"primes_sieve_of_eratosthenes","1.0"
"diffie_hellman_key_exchange","0.9152542372881356"
"next_perfect_square","1.0"
"decimal_to_binary_ip","1.0"
"is_strobogrammatic","1.0"
"rsa","0.3157894736842105"
"rabin_miller","1.0"
"num_perfect_squares","0.8823529411764706"
"find_primitive_root_simple","0.9629629629629629"
"num_digits","1.0"
"combination","1.0"
"cosine_similarity","1.0"
"euler_totient","0.9090909090909091"
"recursive_binomial_coefficient","1.0"
"base_conversion","0.9333333333333333"
"symmetry_group_cycle_index","0.9523809523809523"
"magic_number","0.9090909090909091"
"generate_strobogrammtic","0.9"
"extended_gcd","1.0"
"fft","1.0"
"pythagoras","1.0"
"prime_check","1.0"
"modular_inverse","1.0"
"all_pairs_shortest_path","1.0"
"next_greatest_letter","0.9375"
"shortest_distance_from_all_buildings","0.975609756097561"
"gcd","0.9285714285714286"
"krishnamurthy_number","0.9090909090909091"
"hailstone","1.0"
"find_order_simple","1.0"
"nth_digit","1.0"
"polynomial","0.9507042253521126"
"modular_exponential","1.0"
"inorder","0.6923076923076923"
"level_order","0.9333333333333333"
"zigzag","0.9333333333333333"
"path_sum","0.16279069767441862"
"max_path_sum","1.0"
"same_tree","0.6923076923076923"
"tree","1.0"
"invert_tree","0.42857142857142855"
"is_balanced","0.5555555555555556"
"binary_tree_paths","0.2727272727272727"
"pretty_print","1.0"
"b_tree","0.9139784946236559"
"is_symmetric","0.3870967741935484"
"is_subtree","0.5263157894736842"
"max_height","0.6111111111111112"
"min_height","0.34615384615384615"
"construct_tree_postorder_preorder","0.8518518518518519"
"lowest_common_ancestor","0.23076923076923078"
"path_sum2","0.15555555555555556"
"longest_consecutive","0.7142857142857143"
"segment_tree","0.7307692307692307"
"add_and_search","0.7906976744186046"
"trie","1.0"
"inorder","0.6923076923076923"
"level_order","0.9333333333333333"
"postorder","0.9047619047619048"
"zigzag","0.9333333333333333"
"preorder","0.9411764705882353"
"red_black_tree","0.6791044776119403"
"kth_smallest","0.9090909090909091"
"serialize_deserialize","1.0"
"predecessor","0.42857142857142855"
"array_to_bst","1.0"
"successor","0.42857142857142855"
"bst_closest_value","0.16666666666666666"
"algorithms.tree.path_sum","0.16279069767441862"
"algorithms.tree.max_path_sum","1.0"
"algorithms.tree.same_tree","0.6923076923076923"
"algorithms.tree.tree","1.0"
"algorithms.tree.invert_tree","0.42857142857142855"
"algorithms.tree.is_balanced","0.5555555555555556"
"algorithms.tree.binary_tree_paths","0.2727272727272727"
"algorithms.tree.pretty_print","1.0"
"algorithms.tree.b_tree","0.9032258064516129"
"algorithms.tree.is_symmetric","0.3870967741935484"
"algorithms.tree.is_subtree","0.5263157894736842"
"algorithms.tree.construct_tree_postorder_preorder","0.8888888888888888"
"algorithms.tree.bst.lowest_common_ancestor","0.23076923076923078"
"algorithms.tree.path_sum2","0.15555555555555556"
"algorithms.tree.longest_consecutive","0.7142857142857143"
"algorithms.tree.segment_tree.segment_tree","0.7307692307692307"
"algorithms.tree.trie.add_and_search","0.7441860465116279"
"algorithms.tree.trie.trie","1.0"
"algorithms.tree.traversal.inorder","0.6923076923076923"
"algorithms.tree.traversal.level_order","0.9333333333333333"
"algorithms.tree.traversal.postorder","0.9047619047619048"
"algorithms.tree.fenwick_tree.fenwick_tree","0.9230769230769231"
"algorithms.tree.segment_tree.iterative_segment_tree","0.8695652173913043"
"algorithms.tree.traversal.zigzag","0.9333333333333333"
"algorithms.tree.traversal.preorder","0.9411764705882353"
"algorithms.tree.red_black_tree.red_black_tree","0.6791044776119403"
"algorithms.tree.bst.kth_smallest","0.9090909090909091"
"algorithms.tree.bst.serialize_deserialize","1.0"
"algorithms.tree.bst.predecessor","0.42857142857142855"
"algorithms.tree.bst.array_to_bst","1.0"
"algorithms.tree.bst.successor","0.42857142857142855"
"algorithms.tree.bst.bst_closest_value","0.16666666666666666"
"algorithms.tree.bst.BSTIterator","0.38461538461538464"
"algorithms.tree.bst.is_bst","0.29411764705882354"
"algorithms.strings.breaking_bad","0.9791666666666666"
"algorithms.strings.license_number","1.0"
"algorithms.strings.check_pangram","1.0"
"algorithms.strings.strong_password","1.0"
"algorithms.strings.delete_reoccurring","1.0"
"algorithms.strings.strip_url_params","0.9272727272727272"
"algorithms.strings.repeat_substring","1.0"
"algorithms.strings.reverse_string","1.0"
"algorithms.strings.panagram","1.0"
"algorithms.strings.reverse_words","0.8571428571428571"
"algorithms.strings.roman_to_int","0.8333333333333334"
"algorithms.strings.is_rotated","1.0"
"algorithms.strings.caesar_cipher","1.0"
"algorithms.linkedlist.is_palindrome","0.1111111111111111"
"algorithms.strings.fizzbuzz","0.95"
"algorithms.strings.encode_decode","1.0"
"algorithms.strings.text_justification","0.9032258064516129"
"algorithms.strings.domain_extractor","1.0"
"algorithms.strings.judge_circle","1.0"
"algorithms.strings.int_to_roman","1.0"
"algorithms.strings.knuth_morris_pratt","1.0"
"algorithms.strings.atbash_cipher","1.0"
"algorithms.strings.word_squares","1.0"
"algorithms.strings.longest_common_prefix","1.0"
"algorithms.strings.validate_coordinates","0.875"
"algorithms.strings.make_sentence","0.9090909090909091"
"algorithms.strings.contain_string","1.0"
"algorithms.strings.count_binary_substring","1.0"
"algorithms.strings.first_unique_char","1.0"
"algorithms.strings.repeat_string","0.8571428571428571"
"algorithms.strings.multiply_strings","0.8333333333333334"
"algorithms.strings.unique_morse","1.0"
"algorithms.strings.one_edit_distance","1.0"
"algorithms.strings.group_anagrams","1.0"
"algorithms.arrays.rotate","1.0"
"algorithms.strings.decode_string","1.0"
"algorithms.strings.merge_string_checker","0.9090909090909091"
"algorithms.strings.add_binary","0.9411764705882353"
"algorithms.strings.longest_palindromic_substring","0.96"
"algorithms.strings.min_distance","1.0"
"algorithms.strings.reverse_vowel","0.9523809523809523"
"algorithms.bit.flip_bit_longest_sequence","0.9090909090909091"
"algorithms.bit.count_ones","1.0"
"algorithms.bit.binary_gap","1.0"
"algorithms.bit.remove_bit","1.0"
"algorithms.bit.reverse_bits","0.8"
"algorithms.bit.swap_pair","1.0"
"algorithms.bit.bit_operation","1.0"
"algorithms.bit.single_number3","1.0"
"algorithms.bit.single_number2","1.0"
"algorithms.bit.insert_bit","1.0"
"algorithms.bit.count_flips_to_convert","1.0"
"algorithms.bit.power_of_two","1.0"
"algorithms.bit.single_number","1.0"
"algorithms.bit.add_bitwise_operator","1.0"
"algorithms.backtrack.subsets","1.0"
"algorithms.bit.bytes_int_conversion","1.0"
"algorithms.bit.find_difference","1.0"
"algorithms.bit.find_missing_number","1.0"
"algorithms.bit.has_alternative_bit","0.9090909090909091"
"algorithms.automata.dfa","0.8888888888888888"
"algorithms.bfs.count_islands","0.9655172413793104"
"algorithms.dfs.pacific_atlantic","1.0"
"algorithms.dfs.all_factors","0.9583333333333334"
"algorithms.dfs.walls_and_gates","1.0"
"algorithms.bfs.maze_search","0.9655172413793104"
